10th July 2023     , Begun Development                                               , Add+, Started development of framework for Cockpit v2                                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
12th July 2023     , Added Multi-service Proxy                                       , Add+, Added Multi-service Proxy Panel                                                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
12th July 2023     , Added Quick Test                                                , Add+, Added 'Test' Multi-service Proxy Panel to allow quick testing of Services                                                       , Multi-Service Proxy, https://i.imgur.com/mgtUBgN.png
12th July 2023     , Added Tools Tab                                                 , Add+, Added 'Tools' Tab to allow for quick access to app related tools                                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
12th July 2023     , Added Store                                                     , Add+, Added 'Store' Tab to allow for sales of apps and panels to users                                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th July 2023     , Added XCIPTV                                                    , Add+, Added XCIPTV Panel                                                                                                              , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th July 2023     , Added XCIPTV Theme Visualizer                                   , Add+, Added XCIPTV Theme Visualizer to allow users to visualize how their rebrand will look                                           , XCIPTV             , https://i.imgur.com/piaorjB.png
21st July 2023     , Added iMPlayer                                                  , Add+, Added iMPlayer Panel                                                                                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
21st July 2023     , Added IPVanish                                                  , Add+, Added IPVanish Panel                                                                                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
21st July 2023     , Added PIA                                                       , Add+, Added PIA Panel                                                                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
21st July 2023     , Added Smarters Pro                                              , Add+, Added Smarters Pro Panel                                                                                                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th September 2023 , Updated support for ionCube Loaders 13.0.1                      , Add~, Updated support for ionCube Loaders 13.0.1 in panel and all modules                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th March 2024     , Refactored Codebase                                             , Fix~, Refactored the codebase to improve performance and reduce bugs                                                                  , Cockpit            , https://i.imgur.com/xR0JjJh.png
9th March 2024     , Modular Panels                                                  , Fix~, Refactored the codebase to allow for modular panel addons                                                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th March 2024    , Various Fixes                                                   , Fix~, Fixed various bugs and issues                                                                                                   , Cockpit            , https://i.imgur.com/xR0JjJh.png
11th March 2024    , Added Stremio                                                   , Add+, Added Stremio Panel                                                                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
12th March 2024    , Added Plugin Configuration                                      , Add+, Added Plugin configuration to allow for quick easy editing and adding of addons to Stremio                                      , Stremio            , https://i.imgur.com/546Gr2o.png
13th March 2024    , Added Flix Vision                                               , Add+, Added Flix Vision Panel                                                                                                         , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th March 2024    , Added RTX Widgets                                               , Add+, Added RTX Widgets (Movie Banners / Sport Top / Sport TV Today) to Android Webviews                                              , Android Webviews   , https://i.imgur.com/N55kp3Z.png
